from,times,to
fem!Айзек Лейхи,1.0,Стив Харрингтон
Сара Хоппер,1.0,Стив Харрингтон
Дерек Хейл,1.0,Лидия Мартин
Кларис Фонг,1.0,Малия Тейт
Стайлз Стилински,1.0,Шерил Блоссом
Алекс Стэнделл,1.0,Ева Бриги
Стайлз Стилински,1.0,Эллисон Арджент
fem!Кристофер Шистад,1.0,male!Эва Квиг Мун
Аомине,1.0,Кагами
Серсея Ланнистер,1.0,Теон Грейджой
Мистер Голд,1.0,Серсея Ланнистер
Перси Джексон,1.0,Рейчел Элизабет Дэр
Аннабет Чейз,1.0,Лука Кастеллан
Лука Кастеллан,1.0,Рейчел Элизабет Дэр
Кларисса Ла Ру,1.0,Крис Родригез
Гроувер Ундервуд,1.0,Можжевелка
Дрю Танака,1.0,Нико ди Анджело
Северус,1.0,Фенрир
Афродита Забини,1.0,Драго Сфорца
Квон Сунён,1.0,Ли Джихун
Чхве Сынчоль,1.0,Юн Джонхан
Бет Эванс,1.0,Северус Снейп
Драко Малфой,1.0,ОЖП; и остальные
Северус Снейп,2.0,Эйлин Принц
Марлин,1.0,Намёк на Сириус
Гермиона Грейнджер,1.0,Николас О'Нил
Гарри Паркинсон,1.0,Мелисса Аббот
Гидеон Уизли,1.0,Эмили Пруэтт
Аляска,1.0,Зейн Малик
Лили Эванс,1.0,Том Реддл
Морфин Гонт,1.0,ОЖП
!Ремус Люпин,1.0,ОЖП
Нжп,1.0,ТР
Ромильда Вейн,1.0,Чарли Уизли
Виктор Крам,1.0,Ромильда Вейн
Блейз Забини,2.0,Ханна Аббот
Дадли Дурсль,1.0,Том Марволо Реддл
? минутка интриги,1.0,Гарри Поттер
Альбус Северус Поттер,1.0,Лисандр Скамандер
Люциус Малфой,1.0,Рабастан Лестрэндж
Гарольд,1.0,Хао
Безумие,1.0,Сириус
 Новый Персонаж,1.0,Северус Снейп
Оливер Вуд,2.0,Чарли Уизли
Гарри Поттер,1.0,Ипполита
Гарри Поттер,1.0,Диана Принс
Гарри Поттер,1.0,Донна Трой
Гарри Поттер,1.0,Гилдерой Локхарт
Аластор Грюм,1.0,Гарри Поттер
Гарри Поттер,1.0,Эрни Макмиллан
Гарри Поттер,1.0,Гораций Слизнорт
Гарри Поттер,1.0,Стэн Шанпайк
Гарри Поттер,1.0,Руфус Скримджер
Гарри Поттер,1.0,Корнелиус Фадж
Падма Патил,1.0,Теодор Нотт
гарем.,1.0,гарри поттер
Шелли,1.0,Энди 
Карлус Поттер,1.0,Юфимия Поттер
Авис Дайлис,1.0,Северус Снейп
Северус,1.0,фем!Гарри
Джейкоб Портман,1.0,Эмма Блум
Луна Лавгуд,1.0,Миллард Наллингс
Гермиона и второстепенные.,1.0,Перси
...,1.0,Сириус Блэк
fem!Мидорима,1.0,Такао
Барти,1.0,Инга
Невилл Долгопупс,1.0,Сьюзен Боунс
Анджелина Джонсон,1.0,Флёр Делакур
Гарри Поттер,1.0,Укитаке Джууширо
Гермиона Грейнджер,1.0,Парвати
Лилавия Майл,1.0,Фред Уизли; Джордж Уизли + фоновые
Клеменс Ханниган,1.0,Маттиас Харальдсcон
 Лили,1.0,Джеймс
fem!Гарри Поттер,1.0,Минерва Макгонагалл
Кайло,1.0,Рей
Гарри Поттер,1.0,Клинт Бартон
alt!Драко Малфой,1.0,Гермиона Грейнджер
 Габриэлла Поттер,1.0,Драко Малфой
Волдеморт и прочие.,1.0,Гарри Поттер
ОЖП (немного),1.0,Ремус Люпин
 Анастасия,1.0,Гарри Поттер
Ксенофилиус Лавгуд,1.0,Фред Уизли
fem!Джордж Уизли,2.0,fem!Фред Уизли
Абраксас Малфой,1.0,Гарри Поттер
Возможно Рон Уизли,1.0,Гермиона Грейнджер
fem!Драко Малфой,1.0,ОМП
Минерва МакГонагалл,1.0,Том Риддл
Пивз,1.0,Филч
Неджем,1.0,Панси Паркинсон
Драко Малфой,1.0,Нимфадора Тонкс
Гермиона Грейнджер,1.0,Лили Луна Поттер
Одноглазый,1.0,Отмычка
Кит,1.0,Коливан
Кагеяма Тобио,1.0,Киндайчи Ютаро
Охотники,1.0,Серый Волк
Молния МакКуин,1.0,Мэтр
Билл Уизли,1.0,Ремус Люпин
Альбус Дамблдор,1.0,Лета Лестрейндж
Гермиона Грейнджер,1.0,Мокша
Мэри МакДональд,1.0,Северус Снейп
Джо,1.0,Северус Снейп
Гарри Поттер,1.0,ОЖП Джинни Поттер
 Алисия Мейн,1.0,Драко Малфой
Алиса(ОЖП),1.0,Том Марволо Реддл
human!Аластор,1.0,ОЖП
Главнейший министр Нушрок,1.0,Северус Снейп
Нушрок,1.0,Северус Снейп
Джильберта Лаперьер,1.0,Том Реддл
Беллатриса Лестрейндж,1.0,Пандора Лавгуд
Артур Пендрагон,1.0,Гермиона Грейнджер
Гермиона Грейнджер,1.0,Ромильда Вейн
Джейн Курт,1.0,Нимфадора Тонкс
\Драко,1.0,Панси
Герми,1.0,Драко;
Полумна Лавгуд,1.0,Таррант Хайтопп
Северус,1.0,фем Гарри
Альбус Северус Поттер,1.0,ОЖП1
ОЖП1,1.0,Ремус Люпин
Малфой,1.0,Тёмный Лорд
Андромеда,1.0,Рудольфус
 ?,1.0,Мисс Поттер 
Кара,1.0,Лена
Кетрин Эйкес,1.0,Фред Уизли
Джордж Уизли,1.0,Софи Лаветт 
Дженнифер,1.0,Драко Малфой
Лисандр Скамандер,1.0,Молли Уизли
Лоркан Скамандер,1.0,Люси Уизли
Драко Малфой,1.0,Молли
Роза Уизли,1.0,Рон Уизли
 Рон Уизли,1.0,Роза Уизли
Нарцисса,2.0,Северус
Азумане Асахи,1.0,Нишиноя Ю
Том Марволо Реддл,1.0,Фрэн Боу-Дагенхарт
Альфард Блэк,1.0,Тётушка Мюриэль
Альбус,1.0,Гермиона Грейнджер
Марлин МакКиннон,1.0,Элтайн Блэк
fem!Ньют Скамандер,2.0,Персиваль Грейвс
fem!Ньют Скамандер,1.0,Гарри Поттер
Аластор Грюм,2.0,Сириус Блэк III
Теодор Нотт,1.0,Элеонора Хилтон
dark!Гарри Поттер,1.0,Рабастан Лестрейндж
Альбус Дамблдор,1.0,намек на Минерва МакГонагалл
Оливия Смит,1.0,Сириус Блэк
Гарри Поттер,1.0,Эмили Блэк
???,1.0,Глич
Гарри Поттер,1.0,Флоренц
Гарри Поттер,1.0,Семья 
dom!Драко Малфой,1.0,sub!Гарри Поттер
Нифмадора Тонкс,1.0,Фред Уизли
Никаэль Тэйнис,1.0,Северус Снейп
 Невилл Лонгботтом,1.0,Луна Лавгуд 
Аарон Хотчнер,1.0,Спенсер Рид
Доркас Медоуз,1.0,Люциус Малфой
Маркус Флинт,1.0,Ханна Аббот
Луна Лавгуд,1.0,Регулус Блэк
Геллерт Гриндельвальд,1.0,Лили Поттер
Том Марволо Реддл,1.0,Чара
Гилдерой Локхарт,1.0,Луна Лавгуд
Беллатриса Реддл,1.0,Драко Малфой
Гарри Поттер Гермиона Грейнджер,1.0,Джинни Уизли
Моргана Коган,1.0,Северус Снейп
Лорд Волдеморт,1.0,Снейп
Кингсли Шеклболт,1.0,Минерва Макгонагалл
Кира Уокер ,1.0,Регулус Блэк
Кира Уокер,1.0,Фия Блэк 
Йен Галлагер,1.0,Микки Милкович
Василиск,1.0,ГП
блейз ,1.0,джинни мельком
Гарри Поттер,1.0,Элисиф Прекрасная
Виттория Вичи,1.0,Гарри Поттер
Гарри Поттер,1.0,Гермиона Грейнджер и многие другие.
Алисия Спиннет,1.0,Оливер Вуд
Джулиан,1.0,Эмма
Брюс Уэйн,1.0,Кларк Кент
Драко Малфой; канонные,1.0,ОЖП 
Алиса ,1.0,Лоркан
Меламори Блимм,1.0,Сириус Блэк III
Валери Руис,1.0,Том Марволо Реддл
Нарцисса Малфой,1.0,Перси Уизли
 Беллатрисса Блэк,1.0,Джеймс Поттер
Люциус Малфой,1.0,Серерус Снейп
Медузия Горгонова,1.0,Сарданапал Черноморов
Поклеп Поклепыч,1.0,русалка Милюля
Генка Бульонов,1.0,Пенелопа Дурнева
Гробыня Склепова,1.0,Гуня Гломов
Альбус Северус Поттер,1.0,Екатерина Валялкина
Крис,1.0,Эва
Лика Мэтьюс,1.0,Северус Снейп
Мария Меншикова,1.0,Хитсугая Тоширо
Габриэль Делакур,1.0,Невилл Лонгботтом
Джон Лоу,1.0,Салли Маккенна
Лидия Мартин,1.0,Ногицунэ
Риса Мисима,1.0,Твелв
Бонни Паркер,1.0,Клайд Бэрроу
?,1.0,Гарри Поттер 
Гермиона ,1.0,Седрик Диггори
Super Junior,1.0,ОЖП
Барти Крауч-младший,1.0,Лорд Волдеморт
Джеймс,1.0,Марлена
Люциус Малфой,1.0,Скорпиус Гиперион Малфой
Салли Спэрроу,1.0,Сириус Блэк III
Пандора Блэр,1.0,Северус Снейп
Агнесс,1.0,Драко Малфой
Чон Хосок,3.0,Чон Чонгук
Малфой,1.0,Минох
Лука Модрич,1.0,Серхио Рамос
Гарри Поттер и что-то ещё...,1.0,Драко Малфой
Долорес Амбридж,1.0,Ольга Ларина
Бомж Валера,1.0,Драко Малфой
Драко Малфой,1.0,Рожок Стаканчиков
Северус,1.0,Тала
Джинни Уизли,1.0,Ксенофилиус Лавгуд
Мантия,1.0,Снейп
Айзек Лейхи,1.0,Скотт МакКолл
Беллатриса Лестрейндж,1.0,Тор
Сириус Блэк III,1.0,Сиф
Алиса,1.0,Фрэнк Долгопупс
Оливия Хё (one side),1.0,Ханна Поттер
Невилл Лонгботтом,1.0,Ханна Поттер (friendship)
ОМП,1.0,Рита Скитер
Люциус,1.0,Цисси
Полумна Лавгуд,1.0,Шерлок Холмс
Гарри Поттер,1.0,Гермиона Гренджер и другие
Джеймс Поттер,1.0,Флёр Делакур
ОМП,1.0,Теодор Нотт
Сансет Шиммер,1.0,Твайлайт Спаркл
Рейнбоу Дэш,1.0,Эпплджек
Пьетро Максимофф,1.0,Уэйд Уинстон Уилсон (Дэдпул)
Аметист,1.0,Перидот
Аметист,1.0,Жемчуг
 Рон,1.0,Гарри 
Винсент Крэбб,1.0,Джинни Уизли
 Беллатрса Лестрейндж,1.0,Том Реддл
Долорес Амбридж,1.0,Том Марволо Реддл
Вальбурга Блэк,1.0,Минерва МакГонагалл
Драко Малфой,1.0,Элинор
Луна Лавгуд,1.0,за кадром!Невилл Лонгботтом
Панси Паркинсон,1.0,за кадром!Блейз Забини
Джинни Уизли,1.0,упоминание!Гарри Поттер
Чжоу Чанг,1.0,упоминание!Гарри Поттер
Джордж Уизли + массовка,1.0,Фред
Пандора Лавгуд,1.0,Сириус Блэк III
Нобилия,1.0,Северус Снейп
ОМП(Маркус Джеимс Поттер),1.0,Флёр Делакур
Гестия Джонс,1.0,Уилки Двукрест
Гермиона Грейнджер,1.0,Стайлз
Драко Малфой,1.0,Кэтрин Фэйн и др.
Снейп,1.0,Фадж
harry,1.0,louis
Гарри Поттер,1.0,Люциус и др.
ОЖП,1.0,Энтити 303
Аластор,1.0,ОЖП
Джессика Уорен,1.0,Эрнест Брук
Ремус Люпин,1.0,Элизабет Бёрк
Ванесса Хаббл,1.0,Северус Снейп
Питер Петтигрю,1.0,Сара Коуворт
Рейвенкловец,1.0,Хаффлпаффцы
Гарри Поттер,1.0,Драко малфой
Невилл Лонгботтом,1.0,капитан Джек Харкнесс
 Гарри,1.0,Северус 
Лаванда Браун,2.0,Скабиор
Альбус,1.0,односторонний Минерва
Гарри Поттер,1.0,Риддик
Драко Малфой,1.0,Мия Грейнджер
Драко Малфой,1.0,Она
Сари-Виктуар Уизли,1.0,Тедди Люпин
 Лиам,1.0,Зейн 
Джон Стролл,1.0,Олейра Мовара
Гидеон Хат,1.0,Олейра Мовара
Катрин Мелон,1.0,Майкл Хаусхолдер
dark!Гарри Поттер,1.0,Мелькор
dark!Рон Уизли,1.0,Саурон
Анкалагон Черный,1.0,Драко Малфой
dark!Альбус Дамблдор,1.0,Курунир
human!Том Марволо Реддл,1.0,Гарри Поттер
Гермиона Грейнджер,1.0,фоном Гарри
Изабелла Робинсон,1.0,Уильям Робинсон
Дарк!Чарли Брэдбери,1.0,Динмон!Дин Винчестер
Габриэль,1.0,Ровена МакЛауд
Джесси Чамберс Уэллс,1.0,Уолли Уэст
Альбус,1.0,Элис
Гермиона Грэйнджер,1.0,Люциус Малфой
Остролистая,1.0,Перышко
Неджи Хьюга,1.0,Тен-Тен
ГП,1.0,М
Мария Уизи,1.0,Фред Уизли
Блонди,1.0,Драко Малфой
Ксенофилиус Лавгуд,1.0,Ремус Люпин
Драко Малфой,1.0,Элизабет Эльбе
Питер Паркер,1.0,Северус Снейп
Питер Бенджамин Паркер (Человек-Паук),1.0,Северус Снейп
Сириус Блэк III,1.0,Элизабет Суонн
Гарри Поттер и наоборот,1.0,Драко Малфой
Гарри Поттер,1.0,Мимоходом Драко
Гарри Поттер,1.0,Драко Малфой. ОЖП ОМП И все персонажи Поттерианы
fem!Салазар Слизерин,1.0,Годрик Гриффиндор
Северус Снейп,1.0,фем!Гарри Поттер
Беллатриса Лестрейндж,1.0,Стрелок
Маркус Флинт,1.0,ОЖП
Мадара Учиха,1.0,Цунаде Сенджу
Анко Митараши,1.0,Хаширама Сенджу
Анко Митараши,1.0,Конан
Локи,1.0,много кто
ОЖП,1.0,Пивз
Грейвз,1.0,Криденс
ГП,1.0,ОЖП
Мэри Макдональд,1.0,Сириус Блэк
Джек,1.0,Иса
Астория Скорпиус,1.0,Драко Малфой
Гермиона Грейнджер,2.0,Сириус Блэк I
Джинни,2.0,Северус
Нейтан,1.0,Уоррен
Гермиона Грейнджер,1.0,ОМП(ведьмак)
ОМП(ведьмак),1.0,Цирилла Фиона Элен Рианнон
Квиррелл,1.0,Севакин
Диппер Пайнс,2.0,ОЖП
Гидеон Чарльз Глифул,2.0,Мэйбл Пайнс
Люциус Малфой,1.0,НМП
Роза Уизли,1.0,Эдвард Римус Люпин
Джеймс Поттер-младший,1.0,Лорет Саламандер
Дейенерис,1.0,Северус
г,1.0,р
Драко Малфой,1.0,фемГарри
Антонин Долохов,1.0,Ирма Пинс
Тобиас Снейп,1.0,Эйлин Снейп
Гермиона Грйнджер,1.0,Драко Малфой
 Скорпиус Малфой,1.0,Роза Уизли
Аделайн Беатрис Максвелл,1.0,Рабастан Лестрейндж
Люциус Малфой,1.0,попаданка!Нарцисса Малфой
Том Марволо Реддл,1.0,попаданка!Нарцисса Малфой
Крис Кавертэ,1.0,Фред Уизли
Йеннифэр из Венгерберга,1.0,Цири
Брюс Беннер,1.0,Тони Старк
 один из близнецов Уизли,1.0,Гермиона 
Захарра Драгоций,1.0,Нортон Огнев-младший
Изуку Мидория,1.0,Очако Урарака
Драко Малфой,1.0,Полоумна Лавгуд
Молли Уизли,2.0,Том Марволо Реддл
Люциус Малфой,1.0,новый женский персонаж
 Гарри Поттер.,1.0,Северус Снейп
wizard!au Киллер,1.0,Кид
 ОЖП;,1.0,Фред Уизли 
Бенволио,1.0,Меркуцио
НЖП,1.0,Профессор Северус Снейп
Виктор,1.0,Гретта
Орион Блэк,1.0,Эйлин Принц
Беллатриса Блэк,1.0,Том Марвало Риддл
Мари-Роуз Делорен,1.0,Орион Блэк
Близнецы Уизли,1.0,Пьюси
Алиса,1.0,Игорь
dead!Фред Уизли,1.0,Джордж Уизли
Волан-де- Морт,1.0,Гарри Поттер
Лили Гарри,1.0,Северус
Лили Поттер изредка,1.0,Северус Снейп
Гейл Хоторн,1.0,Китнисс Эвердин
Капитан Джек Воробей,1.0,Элизабет Суонн
Капитан Гектор Барбосса,1.0,Элизабет Суонн
Гарри Поттер,1.0,Пасифика Элиза Нортвест
Грэхем Монтегю ,1.0,Фред Уизли
Джоанна Бэт Харвелл,1.0,Дин Винчестер
БУ,1.0,ФГ
dark!Гарри Поттер,1.0,light!Том Марволо Реддл
Гермиона Грейнджер,1.0,Нимфадора Тонкс
Гермиона Грейнджер,1.0,Нимфадо́ра Тонкс
Ник Фоли,1.0,Фред Уизли
Ли Тэён,1.0,Со Ёнхо
Ким Донён,1.0,Чон Юно
Лидия Мартин,1.0,Эллисон Арджент
Молли Хупер,1.0,Мордред
kid!Джеймс Мориарти,1.0,Себастьян Моран
Драко Малфой,1.0,Ремус Люпин
Драко Малфой,1.0,Леа Поттер
Лесли Блэк(Поттер),1.0,Сириус Блэк III
... и другие,1.0,Гарри Поттер
Гермиона Грейнджер,1.0,Учёный!Гарри Поттер
Геллерт Гриндельвальд,1.0,Джеймс Поттер
Абраксас Малфой,1.0,Лайелл Люпин
Скабиор,1.0,Фенрир Сивый
Беллатриса Лестрейндж,2.0,Молли Уизли
Альфард Блэк,1.0,Питер Петтигрю
Виктор Крам,1.0,Игорь Каркаров
Гарри Поттер,1.0,Мари-Виктуар Уизли
\Гарри Поттер,1.0,Драко Малфой
Фенрир Грейбек,1.0,волк
Жарратриса,1.0,Том Реззал
Джордж Уизли,1.0,ты
В этом томе легкий намёк на Гарольд,1.0,Дафна
 Гермиона.,1.0,Джинни
Моблит Бернер,1.0,Ханджи Зоэ
Леви Аккерман,2.0,Ханджи Зоэ
Джеймс Сириус Поттер,1.0,Новый Женский Персонаж
Питер Бенджамин Паркер (Человек-Паук),1.0,Уэйд Уинстон Уилсон (Дэдпул)
Седрик Диггори,1.0,Ханна Аббот
Ван Со,1.0,Хэ Су
Бартемиус Крауч-мл.,1.0,Джеймс Поттер
Блэк,1.0,Снейп
?,1.0,Ария Поттер
Гермиона\Гарри,1.0,Драко Малфой
 ??,1.0,Лили Поттер
Гарри Поттер ,1.0,Дафна Гринграсс
Нимфадора Тонкс,1.0,Северус Снегг
ГГ - основной,1.0,ГП
Перси Уизли,1.0,Рон Уизли
 Лилиана Морган.,1.0,Драко Малфой
Игорь Каркаров,1.0,Рита Скиттер
Игорь Каркаров,1.0,Рита Скитер
Полумна,1.0,Рон Уизли
 Чарити Бербидж,1.0,Северус Снейп 
fem!Гарри Поттер,1.0,Панси Паркинсон
Оригинальный женский персонаж,1.0,Северус Снейп
Лаванда Браун,1.0,Римус Люпин
Германия,1.0,Я
Гарри Поттер,1.0,Том Реддл 
Анджелина Даллес,1.0,Грелль Сатклифф
fem!Гарри Поттер,1.0,Рональд Нокс
fem!Алан Хамфриз,1.0,Эрик Слингби
Ева Мунлит,1.0,Сириус Блэк III
Том Марволо Реддл,1.0,Эйвери
Оливер,1.0,Энн
Миатрисса Малфой,1.0,Фред Уизли
Северус,1.0,Флёр
Белла,1.0,Гарри Поттер
Дмитрий Ларин,1.0,Юрий Хованский
Василиск,1.0,Мамба :))
Драко Люциус Малфой,1.0,ОЖП
Алекто Кэрроу,1.0,Сириус Блэк III
ГП,1.0,ДМ - основной.
Маклин Реддл,1.0,Скорпиус Малфой
Антонин Долохов,1.0,Люциус Малфой
Блейз,1.0,Рон Уизли
Меч,1.0,Шляпа
ОМП,1.0,Хельга Хаффлпафф
Аластор Грюм,1.0,Марлин Маккиннон
Гарри Поттер,1.0,Темный лорд
Ацуши Накаджима,1.0,Рюноске Акутагава
Cеверус Снэйп,1.0,Гарри Поттер
 Джордж Уизли,1.0,Фред
Нарцисса Малфой,1.0,Родольфус Лестрейндж
Русский фандом,1.0,Северус Снейп
Дементор Акакий,1.0,Распределяющая Шляпа
Джеймс,1.0,Каллиопа
Джейн Поттер (ОЖП) ,1.0,Сириус Блэк III
ДУ,1.0,СС
Альбус Дамблдор,1.0,Геллерт Гриндевальт
Джейс Эрондейл,1.0,Себастьян Моргенштерн
Гарольд Певерелл ,1.0,Том Риддл
Адель Ансо,1.0,Салазар Слизерин
Билл,1.0,Сириус
draco,1.0,pansy
Мэри Моран,1.0,Том Марволо Реддл
Кэти Белл,1.0,Чарли Уизли
ОЖП,1.0,Рем
Оливия Хастингс,1.0,Фред Уизли
Джек Доусон,1.0,ОЖП
Лили,1.0,Много + сильно развитый - Скорпиус
Джордж Уизли,2.0,Пэнси Паркинсон
Джордж\Анджелина,1.0,Фред
 Гарри,1.0,Люциус 
Майкрофт Холмс,1.0,Панси Паркинсон
Акико Ёсано,1.0,Рампо Эдогава
Гермиона. Поттер. Малфой.,1.0,Рон Уизли
Гигантский кальмар,1.0,Лорд Волдеморт
Джордж и другие...,1.0,Мари
 мужчины,1.0,Луна Лавгуд
Гермиона Грейнджер,1.0,Новый персонаж
Гарри Поттер,1.0,Намек на Драко
Драко Малфой,1.0,Том Реддл
Кэт,1.0,Сириус Блэк III
Гермиона Грейнджер и многие другие.,1.0,Драко Малфой
Гораций Слизнорт,1.0,Драко Малфой
Гермиона Грейнджер,1.0,Перегрин Тук
 Виктор Крам,1.0,Флер Делакур 
Нарцисса Малфой,1.0,Сириус Блэк I
Алан Моро,1.0,Гермиона Грейнджер
Гермиона Грейнджер,1.0,Дуглас Лонгботтом
Хантер Аббот,1.0,Элис Уайт
Мальчик-который-к-сожалению-не-сдох,1.0,вседозволенность
Грелль Сатклифф,2.0,Уильям Т. Спирс
Ким Тэхён,1.0,Ли Чжи Ын
human!Маркус,1.0,human!Саймон
 Полумна Лавгуд,1.0,Драко Малфой 
Маркус Холмс,1.0,Флёр Делакур
Виктор Крам,1.0,Нимфадора Тонкс
Кан Ёсан,1.0,ОЖП
ОЖП,1.0,Чхве Сан
ОЖП,1.0,Чхве Чонхо
Драко Малфой,1.0,Эбигейл Вуд
Аластор Грюм,1.0,Ровена Рейвенкло
Озма Блэк,1.0,Фред Уизли
Сириус Блэк III,1.0,Эшли Лизард
Гермиона Грейнджер,1.0,Джордж.
Панси Паркинсон.,1.0,Теодор Нотт
adult!Гермиона Грейнджер,1.0,adult!Драко Малфой
Роза,1.0,Скорпиус.
Бобби Финсток,1.0,Гермиона Грейнджер
Ахиллес Толливер,1.0,Порпентина Голдштейн
Камити Миллер (ГГ игры),1.0,Чарли Уизли
Камити Миллер(ГГ игры),1.0,Чарли Уизли
Анна Мещерская,1.0,Салазар Слизерин
Кэтрин Эрншо,1.0,Хитклиф
Гарри Поттер,1.0,Суллис Флимринг
Катрин Кларрен,1.0,Элмир Рэдвинг
Веймон Канаран,1.0,Самия Джаммел
НМП,1.0,НМП
Гарри Поттер,1.0,Джеффри Хупер
Артур Уизли,1.0,Рон Уизли
Артур Уизли,1.0,Гарри Поттер
 Гермиона Грейнджер,1.0,Джеймс Поттер
Рина,1.0,Фред
ГГ и остальные по немногу,1.0,ДМ
Ганнибал Лектр,1.0,еда
Джордж,1.0,Настя
Гарри Поттер,3.0,НЖП
Локи,1.0,Том Реддл
Гарри Поттер,1.0,Кара Мейсон
Гермиона Грейнджер,1.0,Даркен Рал
Колин Криви,1.0,Луна Лавгуд
ОЖП,1.0,Фенрир Грейбэк
Бард,1.0,Гермиона Грейнджер
Беллартикс Лестрейндж,1.0,Рудольфус Лейстрейнд
Макс Эдвардс,1.0,Северус Снейп
Северус Снейп,1.0,тело!Джеймс Поттер
ДМ ,1.0,Секрет
Джойс Барнаби,1.0,Том Марволо Реддл
Ксенофилиус Лавгуд,1.0,Мадам Розмерта
ОЖП. Севвитус.,1.0,Снейп
ОМП,1.0,Роза Грейнджер
Гарри Поттер,1.0,Марволо
ГГ,1.0,шиза
Люциус Малфой,1.0,мельком!Том Марволо Реддл
Гермиона + будут встречаться некоторые герои Поттерианы,1.0,Драко Малфой
Гарри Поттер,1.0,Джордж
ОЖП,1.0,Персиваль Грейвз
Ло Бинхэ,1.0,Шэнь Цзю
Кларисса Адель Фэйрчайлд,1.0,Себастьян Моргенштерн
Гало Тимос ,1.0,Лио Фотиа
Му Цин,2.0,Фэн Синь
Лили Эванс,1.0,Нарцисса Блэк
Гарри и много второстепенных,1.0,Драко Малфой
Гермиона Грейнджер,1.0,Фред Узли
[old] ГП,1.0,ДМ и дальше по канону
 ОМП,1.0,Гарри Поттер
Лиам,1.0,Луи
Гермиона Грейнджер,1.0,Хойт Риггерон
Марлин Маккиннон,1.0,Сириус
Джеймс Сириус Поттер,1.0,Элеонора Малфой
Любимая,1.0,Рон Уизли
Уильям Уизли,1.0,Эмили Малфой
Волдеморт,1.0,Нагайна
Миртл,1.0,Намёк на Том
Луи Уизли,1.0,Скорпиус Гиперион Малфой
Клэй Дженсен,1.0,Ханна Бейкер
Беллами Блейк,1.0,Кларк Гриффин
Жан Кирштайн,2.0,Эрен Йегер
гриффиндорец,1.0,слизеринец
Лили Полумна Поттер,1.0,Фред Уизли
...,1.0,Главная героиня
Северус Снейп,1.0,отеческие !Гарри Поттер
Хлоя,2.0,Элайджа Камски
Кэра,1.0,Норт
Белатрикс,1.0,Тёмный Лорд
Гермиона Грейнджер,1.0,Стайлз Стилински
Люциус,1.0,Мелисса
Минерва МакГонагалл,1.0,Сибилла Трелони
Драко Малфой,1.0,Миа Софи Эриксон
 Мари-Виктуар,1.0,Тедди Люпин
...,1.0,ЛМ
 Рольф Саламандер,1.0,Луна Лавгуд 
Драко Малфой,1.0,Люси
ГарриП,1.0,СеверусС
Серафина Пеккала,1.0,Сириус Блэк III
Мари Виктуар,1.0,Тедди Люпин
Зигфрид Кирхайс,1.0,Райнхард фон Лоэнграмм
Адель Рутланд,1.0,Северус Снейп.
???,1.0,Венетия д'Авейрон
Дженни,1.0,Джордж
Лили Поттер мл.,1.0,Скорпиус Малфой
Гермиона Грейнджер,1.0,пре-fem!Дафна Гринграсс
\ЛМ,1.0,ГП
Гарри Поттер и другие.,1.0,Драко Малфой
Кук,1.0,Лидия
Кэсс Оулс,2.0,Пенни Хэйвуд
 Полумна Лавгуд,1.0,Ксенофилиус Лавгуд 
Гарри Поттер,1.0,Тедди
Драко Малфой,1.0,Плакса Миртл
Малфой,1.0,ОЖП
dark!Рубеус Хагрид,1.0,Драко Малфой
Гермиона Грейнджер,1.0,Цири
Роб,1.0,Шон
Сириус Блэк III,1.0,Эйвери Тодес (ОЖП)
Ремус Люпин,1.0,Рита (ОЖП)
СС,1.0,тентакли
 Кэти Белл,1.0,Оливер Вуд
Изуку Мидория,1.0,Катсуки Бакуго
Адель,1.0,Фран
Андреа Сакс,1.0,Миранда Пристли
Рейна Авилла Рамирес-Арельяно,1.0,Рейчел Элизабет Дэр
Варвара,1.0,Прасковья
fem!Геллерт Гриндельвальд,1.0,Гарри Поттер
fem!Том Марволо Реддл,1.0,Северус Снейп
ОМП,2.0,Роксана Уизли
dark!Седрик Диггори,1.0,Гермиона Грейнджер
Лаванда Браун,1.0,Ромильда Вейн
Цзинь Цзысюань,1.0,Цзян Яньли
fem!Гарри - одностороний,1.0,Драко Малфой
Барти Крауч мл.,1.0,Беллатриса
Лис Скамандер,1.0,Роза Уизли
вампир,1.0,стоматолог
Дин Винчестер,1.0,Сириус Блэк III
Рон Уизли,1.0,Фенрир Грейбек
Гай,1.0,Мэриан
гарри поттер,1.0,джинни уизли
Нагайна,1.0,Том Риддл
Гарри Поттер,1.0,Дарт Вейдер
Скотт МакКолл,1.0,Стайлз Стилински
Лили - как лейтмотив,1.0,Северус
Гарри Поттер,1.0,Энакин Скайуокер
Морфин Мракс,1.0,Том Реддл-ст.
 Гермиона Грейнджер;,1.0,Драко Малфой
Петунья Дурсль,1.0,Рита Скитер
Драко Малфой,1.0,Лилиан Хэлл
fem!Гарри Поттер,1.0,fem!Сириус Блэк
dark!Поттер,1.0,Волдеморт
fem!Грелль Сатклифф,1.0,Уильям Т. Спирс
Гробовщик,1.0,ОЖП
ОЖП,1.0,Рональд Нокс
Алан Хамфриз,1.0,Эрик Слингби
Гарри - Четыре - Пит в одном ,1.0,Трис
?,1.0,Элизабет
Джон Люк,1.0,Петуния Эванс
Себастьян Михаэлис,1.0,Том Марволо Реддл
dark!Гарри Поттер,1.0,Грелль Сатклифф
К.Когтевран,1.0,С.Слизерин
Джеймс Поттер ,1.0,Лили Эванс
fem!Гарри Поттер,1.0,Чжоу Чанг
